Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,asian_population,black_population,zip code tabulation area
10807.0,5475.0,47177.0,34352.0,1797.0,331.0,4791.0,12210
14094.0,4431.0,121209.0,53027.0,563.0,1440.0,493.0,12211
6767.0,0.0,-666666666.0,4407.0,0.0,362.0,1529.0,12222
27701.0,10951.0,83692.0,41504.0,1555.0,325.0,314.0,12302
29725.0,11346.0,71573.0,36371.0,3781.0,1349.0,3105.0,12303
20531.0,8200.0,55725.0,30427.0,3727.0,1482.0,3109.0,12304
6947.0,3393.0,46367.0,31175.0,1181.0,301.0,1439.0,12305
27352.0,10556.0,71859.0,33880.0,2261.0,619.0,2066.0,12306
7769.0,2774.0,30151.0,20222.0,2664.0,602.0,2585.0,12307
14122.0,5693.0,51498.0,29276.0,2274.0,764.0,2417.0,12308
33172.0,12167.0,111830.0,48723.0,1108.0,2900.0,1079.0,12309
35225.0,14536.0,61261.0,34771.0,6083.0,723.0,4034.0,12401
353.0,157.0,58750.0,31276.0,9.0,4.0,0.0,12411
941.0,408.0,89038.0,44428.0,34.0,0.0,0.0,12417
648.0,272.0,63553.0,63732.0,52.0,0.0,0.0,12419
35.0,19.0,-666666666.0,,0.0,0.0,0.0,12429
675.0,310.0,34444.0,16518.0,297.0,0.0,0.0,12432
1561.0,627.0,93250.0,46037.0,79.0,43.0,124.0,12440
3919.0,1570.0,109205.0,52932.0,78.0,45.0,138.0,12443
3333.0,1198.0,66875.0,33723.0,203.0,24.0,238.0,12449
796.0,238.0,84310.0,26759.0,75.0,0.0,31.0,12456
2077.0,896.0,64400.0,50427.0,187.0,0.0,10.0,12466
288.0,288.0,2499.0,20886.0,223.0,0.0,0.0,12471
1304.0,608.0,57500.0,39717.0,138.0,16.0,28.0,12472
463.0,176.0,-666666666.0,28957.0,142.0,11.0,0.0,12475
18196.0,7790.0,66516.0,43190.0,1086.0,122.0,247.0,12477
3325.0,1486.0,66364.0,43232.0,366.0,283.0,227.0,12484
1784.0,605.0,79406.0,34669.0,103.0,17.0,105.0,12486
3930.0,1499.0,68750.0,44507.0,480.0,8.0,448.0,12487
4657.0,2405.0,58262.0,56480.0,751.0,115.0,82.0,12498
19697.0,7588.0,88910.0,41453.0,1716.0,540.0,3518.0,12508
239.0,76.0,130521.0,39890.0,0.0,0.0,0.0,12512
1735.0,545.0,96118.0,34285.0,22.0,0.0,38.0,12515
5934.0,2318.0,95867.0,45458.0,163.0,213.0,159.0,12518
3111.0,1203.0,106433.0,51905.0,102.0,78.0,82.0,12520
15633.0,6233.0,82556.0,42763.0,894.0,609.0,1317.0,12524
1817.0,752.0,80893.0,39578.0,90.0,0.0,0.0,12525
13675.0,5425.0,78952.0,40754.0,570.0,348.0,645.0,12528
26101.0,8556.0,120362.0,52513.0,1174.0,1391.0,1139.0,12533
14311.0,5347.0,78445.0,38216.0,1436.0,406.0,1100.0,12538
5825.0,2407.0,99911.0,51846.0,284.0,45.0,184.0,12542
2786.0,1229.0,99219.0,55130.0,179.0,49.0,83.0,12547
1011.0,446.0,73482.0,41452.0,18.0,0.0,22.0,12548
10750.0,3469.0,106435.0,40642.0,497.0,43.0,913.0,12549
55564.0,19586.0,69671.0,32636.0,7630.0,1032.0,11030.0,12550
26806.0,9718.0,91698.0,43498.0,1439.0,1183.0,4237.0,12553
18058.0,6429.0,80558.0,38797.0,2849.0,558.0,1122.0,12561
10174.0,4002.0,89275.0,43094.0,663.0,83.0,101.0,12569
8762.0,3904.0,86700.0,59150.0,741.0,155.0,181.0,12572
525.0,195.0,-666666666.0,53486.0,0.0,25.0,0.0,12574
1944.0,623.0,134297.0,50098.0,116.0,0.0,144.0,12575
1520.0,514.0,138676.0,46941.0,83.0,0.0,65.0,12577
2152.0,871.0,67708.0,42643.0,195.0,21.0,19.0,12578
4389.0,1655.0,97961.0,50904.0,206.0,116.0,123.0,12580
12147.0,4476.0,75845.0,32220.0,1868.0,108.0,1329.0,12586
19255.0,5431.0,100771.0,32786.0,3895.0,295.0,1595.0,12589
36849.0,14041.0,96726.0,45471.0,1916.0,1751.0,3401.0,12590
42737.0,16972.0,53105.0,36201.0,6868.0,1049.0,11455.0,12601
41610.0,16534.0,92480.0,46916.0,2664.0,2247.0,4590.0,12603
1993.0,0.0,-666666666.0,4010.0,0.0,338.0,177.0,12604
14838.0,6718.0,60700.0,33137.0,1697.0,71.0,359.0,12801
8349.0,3689.0,66449.0,35108.0,1098.0,30.0,29.0,12803
27486.0,11851.0,83204.0,48136.0,1865.0,207.0,242.0,12804
3349.0,1349.0,74596.0,34355.0,178.0,9.0,22.0,12827
9866.0,3740.0,72813.0,35656.0,770.0,12.0,25.0,12828
18314.0,6804.0,91827.0,42184.0,716.0,204.0,90.0,12831
13612.0,5884.0,57248.0,30114.0,2135.0,68.0,109.0,12839
4760.0,2072.0,82857.0,39490.0,251.0,26.0,64.0,12845
