Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,zcta
16834,5341,17526,9012,10440,348,14170,23,14,00601
37642,12777,20260,11379,17768,555,18479,48,47,00602
49075,19624,17703,13010,23551,1719,36216,28,32,00603
5590,1948,19603,9274,3021,9,3721,0,0,00606
25542,8781,22796,12726,11597,576,11182,0,2,00610
1315,523,22525,13495,587,14,765,0,0,00611
63312,23286,22305,13479,27239,1775,23571,560,36,00612
9625,3150,23652,11218,4201,626,3512,147,0,00616
22573,8234,20328,13414,10418,754,8496,360,38,00617
7577,2996,22818,14801,3496,419,3409,0,0,00622
39406,14572,23132,14386,16224,1790,16400,206,177,00623
21648,7344,20101,11325,11130,611,16052,25,0,00624
32733,11585,23263,13429,13563,542,26687,0,43,00627
1431,480,15658,8965,846,8,1377,0,0,00631
1057,262,-666666666,7550,800,0,603,0,0,00636
22882,7265,20568,11415,10350,123,14793,11,79,00637
17605,5814,19796,9553,9664,594,9019,77,247,00638
24299,8854,17673,10661,12959,314,11942,19,0,00641
35926,12006,31330,21207,11072,2257,16043,0,10,00646
4702,1844,17143,8531,3176,287,2337,4,0,00647
13767,5245,20363,10741,6827,81,6258,186,0,00650
3924,1412,26148,14188,1498,74,1595,49,38,00652
8980,3627,13777,8206,5795,428,5668,0,15,00653
18121,6429,21456,10444,9388,343,13909,82,32,00656
37066,13061,23899,14486,14782,1242,28807,4,84,00659
15483,6084,22556,14258,6367,381,3249,0,0,00660
40480,14067,20283,12477,19434,3146,22574,35,51,00662
14967,5056,17966,8694,8257,560,8056,0,0,00664
23370,8259,16889,10048,13087,610,9936,0,0,00667
27529,9997,18838,10330,15237,621,23993,0,15,00669
8746,2702,16644,8606,4542,197,4902,0,0,00670
39385,14691,20088,12971,18002,1040,16294,114,26,00674
36683,12956,20160,14041,17143,1703,28106,0,111,00676
15304,5741,26404,15700,6304,344,6030,0,0,00677
25039,9059,19558,11543,11494,893,17356,0,79,00678
43173,17577,16535,12462,22589,978,7550,33,20,00680
30414,12077,17385,14847,16264,847,4887,5,5,00682
29547,10904,18132,12070,14181,339,18986,8,0,00683
40346,14312,17481,11189,21041,1122,29322,21,37,00685
28659,9810,22282,12329,13586,1180,12506,0,0,00687
11478,3950,17273,11755,5987,168,3097,111,0,00688
5781,2063,23343,11967,2765,204,4020,0,0,00690
33302,11968,25289,16954,13639,2244,11131,0,0,00692
55570,20435,23791,14766,23966,2736,22455,9,0,00693
98,52,-666666666,40423,27,0,0,0,0,00694
33506,12264,19818,11804,14745,915,24755,0,28,00698
24475,8993,23045,14001,10679,1650,9973,0,352,00703
6831,2443,19845,10677,3521,1352,2054,0,0,00704
24401,8909,22679,13417,10329,2343,8641,0,131,00705
10487,3904,21765,10533,5255,3840,967,0,0,00707
15797,6246,18496,12921,9102,3091,8438,0,0,00714
2040,780,16250,8924,1367,176,801,0,0,00715
27166,11547,20184,17655,13196,1663,15241,20,41,00716
15029,6678,14164,12108,7800,908,7953,16,91,00717
23289,8138,20414,10924,11155,402,7887,23,0,00718
29523,8692,20533,11312,14400,2285,13615,1,0,00719
20816,6514,16751,9950,11490,1034,9714,0,54,00720
15978,6222,20967,11876,7705,5589,1048,0,0,00723
77244,30818,25786,17280,31300,6819,42866,170,258,00725
53258,20011,33678,21866,16325,4940,29152,256,102,00727
38590,13069,21239,12568,17986,2520,23528,44,38,00728
47826,16661,26978,16953,16792,6789,13980,319,37,00729
32267,12950,17517,12216,16881,1479,15339,0,7,00730
10473,3924,16944,11609,5862,648,5495,0,0,00731
11164,4234,23125,14292,4613,637,2969,54,42,00735
45867,17707,27158,16511,17606,4117,17863,71,275,00736
30093,11898,24643,15739,12441,2033,9206,47,16,00738
34678,12418,24887,14366,13847,3990,13833,30,197,00739
2034,718,18784,9366,1188,88,680,0,0,00740
3627,1338,23821,13362,1802,372,662,0,0,00741
47494,16232,26189,14362,16929,5652,13081,169,130,00745
19570,7550,20241,11664,9706,3577,5433,0,44,00751
36576,13364,19528,12205,16682,10298,4473,112,0,00754
20048,7182,22764,13589,9297,3135,5680,28,29,00757
8199,2608,17062,9193,4433,579,1813,16,0,00765
22053,7808,22511,12144,9359,1889,8769,0,16,00766
30779,11808,20126,11748,15124,11410,2463,10,0,00767
34374,12770,20236,12274,17218,4506,10696,0,9,00769
34964,12150,23343,13801,13683,11396,3964,32,23,00771
17316,6408,17209,10093,9029,6942,1595,13,0,00772
17716,6800,22585,13578,8011,1292,4871,48,0,00773
1186,447,25483,17226,278,31,342,9,0,00775
37726,13415,26052,13919,14168,8274,12429,0,75,00777
40476,14840,39484,25167,12880,4566,17069,100,129,00778
13908,4779,26075,14082,5509,974,5864,0,0,00780
18639,5239,16221,9742,9934,1523,9031,0,0,00782
34205,10736,21701,11300,15602,2283,15920,0,0,00783
35917,14239,19199,12667,16110,3867,20459,0,19,00784
154,86,-666666666,9853,87,67,66,0,0,00786
46537,16741,26002,15731,16880,5685,10933,235,83,00791
28335,8964,21278,11511,14013,2019,15074,0,16,00794
42900,14607,22579,11924,19204,2552,10511,1,7,00795
8220,3302,27926,33366,2243,977,4191,1,1,00901
148,78,-666666666,60466,0,0,148,0,0,00906
16607,8521,40293,46990,4338,1426,7233,169,46,00907
5260,2500,25778,23191,2269,610,1763,15,70,00909
7087,3724,38125,44780,1941,493,2938,266,33,00911
5955,2800,27026,26610,1924,646,1610,66,13,00912
7068,3090,6449,16530,5300,295,1954,66,25,00913
24713,10638,12963,10151,16198,3503,3931,12,45,00915
18544,8211,17086,15503,9318,1522,7186,65,17,00917
15976,7980,35000,32722,4588,782,6140,43,31,00918
17293,7117,28562,18746,6244,3227,7070,0,57,00920
33555,13998,21419,15360,15093,5116,13228,11,63,00921
24760,10487,18389,13073,12072,3409,7813,41,63,00923
47080,19698,21046,15186,21867,8481,21429,9,75,00924
5556,2763,13016,15664,3028,839,2242,43,35,00925
93751,36983,38432,25693,24424,8818,45307,130,136,00926
13766,6265,40213,32743,2926,713,7538,70,71,00927
128,28,-666666666,17945,0,59,69,0,0,00934
68031,25533,31500,17187,22552,4725,28208,20,261,00949
0,0,-666666666,-666666666,0,0,0,0,0,00950
298,123,21354,11929,156,88,71,0,0,00951
8168,3138,19392,12324,3634,1401,2613,0,11,00952
66079,22376,32957,17142,20964,3552,34179,117,0,00953
65841,24889,27243,15821,24649,4133,23421,31,67,00956
41009,15345,28240,15514,14438,2572,15222,198,64,00957
47721,18030,31603,17792,15982,3681,18409,79,8,00959
3405,0,-666666666,1752,39,329,886,0,0,00960
29271,11572,34141,21018,8352,2050,11672,33,0,00961
19614,7634,18478,11215,10166,2274,7922,0,51,00962
5148,2044,15872,10674,2967,717,1754,30,5,00965
16451,6507,51732,35728,3204,625,7083,38,0,00966
3554,1834,55132,47756,336,106,1695,13,0,00968
41784,15537,55929,34181,8027,2260,16656,69,134,00969
26430,9593,31484,18790,8785,1576,10057,0,27,00971
61638,23447,35661,19524,18764,8029,33792,232,65,00976
16890,8770,34705,31152,3679,1152,6952,79,50,00979
13876,5727,24244,14047,5759,2287,5393,129,0,00982
31816,12773,30595,17934,10608,5039,11616,37,0,00983
32265,12400,33270,16709,9382,5185,11001,65,0,00985
54109,20134,36396,19590,16317,6692,18382,129,55,00987
16045,6611,73398,40949,1110,530,14384,489,0,01001
22992,8782,74265,42280,4443,942,16777,2085,19,01002
11989,19,-666666666,5105,3,653,7809,2439,0,01003
4837,1681,97409,38672,420,55,4575,0,0,01005
15368,6446,99500,46251,1268,171,13857,497,0,01007
1231,531,93405,45213,40,0,1211,0,2,01008
699,307,68510,32996,106,0,699,0,0,01009
3699,1480,88438,50702,224,166,2985,7,0,01010
1318,512,80640,33754,121,0,1279,0,0,01011
440,198,73906,38397,41,0,430,0,0,01012
22895,9350,62000,33473,3926,1291,15768,489,25,01013
30417,13311,67617,35858,4090,1549,25085,674,2,01020
2144,1077,52207,32948,412,315,1584,65,0,01022
1073,479,83875,43663,73,6,1024,0,1,01026
17711,8606,69337,43474,1538,107,15582,269,0,01027
16273,5975,100610,48044,566,433,14448,219,0,01028
527,241,93125,46247,14,0,521,0,1,01029
12561,4966,87324,46011,716,155,11721,81,0,01030
