Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,zcta
49075,19624,17703,13010,23551,1719,36216,28,32,603
63312,23286,22305,13479,27239,1775,23571,560,36,612
35926,12006,31330,21207,11072,2257,16043,0,10,646
15483,6084,22556,14258,6367,381,3249,0,0,660
36683,12956,20160,14041,17143,1703,28106,0,111,676
43173,17577,16535,12462,22589,978,7550,33,20,680
30414,12077,17385,14847,16264,847,4887,5,5,682
27166,11547,20184,17655,13196,1663,15241,20,41,716
15029,6678,14164,12108,7800,908,7953,16,91,717
38590,13069,21239,12568,17986,2520,23528,44,38,728
47826,16661,26978,16953,16792,6789,13980,319,37,729
32267,12950,17517,12216,16881,1479,15339,0,7,730
10473,3924,16944,11609,5862,648,5495,0,0,731
34205,10736,21701,11300,15602,2283,15920,0,0,783
8220,3302,27926,33366,2243,977,4191,1,1,901
16607,8521,40293,46990,4338,1426,7233,169,46,907
5260,2500,25778,23191,2269,610,1763,15,70,909
7087,3724,38125,44780,1941,493,2938,266,33,911
5955,2800,27026,26610,1924,646,1610,66,13,912
7068,3090,6449,16530,5300,295,1954,66,25,913
24713,10638,12963,10151,16198,3503,3931,12,45,915
18544,8211,17086,15503,9318,1522,7186,65,17,917
15976,7980,35000,32722,4588,782,6140,43,31,918
17293,7117,28562,18746,6244,3227,7070,0,57,920
33555,13998,21419,15360,15093,5116,13228,11,63,921
24760,10487,18389,13073,12072,3409,7813,41,63,923
47080,19698,21046,15186,21867,8481,21429,9,75,924
5556,2763,13016,15664,3028,839,2242,43,35,925
93751,36983,38432,25693,24424,8818,45307,130,136,926
13766,6265,40213,32743,2926,713,7538,70,71,927
68031,25533,31500,17187,22552,4725,28208,20,261,949
66079,22376,32957,17142,20964,3552,34179,117,0,953
65841,24889,27243,15821,24649,4133,23421,31,67,956
41009,15345,28240,15514,14438,2572,15222,198,64,957
47721,18030,31603,17792,15982,3681,18409,79,8,959
29271,11572,34141,21018,8352,2050,11672,33,0,961
19614,7634,18478,11215,10166,2274,7922,0,51,962
16451,6507,51732,35728,3204,625,7083,38,0,966
3554,1834,55132,47756,336,106,1695,13,0,968
41784,15537,55929,34181,8027,2260,16656,69,134,969
26430,9593,31484,18790,8785,1576,10057,0,27,971
61638,23447,35661,19524,18764,8029,33792,232,65,976
16890,8770,34705,31152,3679,1152,6952,79,50,979
13876,5727,24244,14047,5759,2287,5393,129,0,982
31816,12773,30595,17934,10608,5039,11616,37,0,983
32265,12400,33270,16709,9382,5185,11001,65,0,985
54109,20134,36396,19590,16317,6692,18382,129,55,987
16045,6611,73398,40949,1110,530,14384,489,0,1001
22992,8782,74265,42280,4443,942,16777,2085,19,1002
15368,6446,99500,46251,1268,171,13857,497,0,1007
22895,9350,62000,33473,3926,1291,15768,489,25,1013
30417,13311,67617,35858,4090,1549,25085,674,2,1020
2144,1077,52207,32948,412,315,1584,65,0,1022
17711,8606,69337,43474,1538,107,15582,269,0,1027
16273,5975,100610,48044,566,433,14448,219,0,1028
12561,4966,87324,46011,716,155,11721,81,0,1030
6096,2686,102248,56389,304,122,5782,31,0,1033
5295,2323,112450,57534,230,5,4849,129,0,1035
4966,1971,110320,47370,115,0,4618,22,18,1036
38210,15112,49007,27973,9675,1758,25804,310,197,1040
20883,8502,76395,40007,1969,255,18474,219,0,1056
1585,613,93906,45686,83,21,1481,0,0,1068
6185,2496,114531,52126,114,21,5641,110,0,1073
17115,7316,92740,50904,1220,229,15127,866,0,1075
9244,3691,106779,47760,388,22,8607,105,40,1077
41592,15767,78901,39355,3396,632,35627,1832,16,1085
28755,12691,67297,41129,3022,1016,23198,1530,68,1089
14673,5382,126689,53666,552,555,13153,224,0,1095
2245,1496,21288,35124,998,496,1002,69,24,1103
22606,9103,47413,25870,4550,3125,9903,158,33,1104
12045,5018,23948,17031,5784,2137,4019,22,1,1105
16019,5976,137597,64194,585,206,14148,926,0,1106
12443,4290,30825,19264,5047,1444,5087,191,4,1107
26198,10505,48465,27079,7419,4745,11877,1797,77,1108
31301,9623,42928,19730,6997,11227,11441,425,343,1109
15112,5724,78354,35812,2232,2729,9067,797,76,1118
14182,5173,54326,28735,2336,3237,7541,640,73,1119
3063,1102,77050,36332,216,264,2224,101,0,1128
6486,2661,80352,38277,757,793,4235,163,17,1129
9467,3615,51410,24279,1661,1677,4899,108,0,1151
45188,19874,67262,42404,6084,2599,37269,566,68,1201
2451,1042,86300,42726,87,25,2414,0,0,1237
5928,2572,77679,48941,396,36,5431,140,15,1238
4922,2239,82578,55990,340,78,4522,13,16,1240
952,456,85714,81899,98,1,903,12,17,1266
41661,16700,65599,33350,5637,2980,28738,724,103,1420
11212,3700,186750,71901,501,50,9748,536,0,1450
43550,18404,75954,44024,3874,2835,33333,1288,45,1453
11765,4604,106473,49198,842,225,10643,112,0,1462
11667,4339,124052,52295,729,289,10192,633,0,1463
8220,3248,95674,49162,278,0,8013,53,0,1473
16763,6672,101992,47783,612,78,15383,453,0,1501
9195,3874,95132,47530,445,286,8053,177,0,1504
4855,1864,133292,65580,390,15,4507,169,0,1505
13338,4833,113896,48602,498,82,12537,24,14,1507
2120,871,77122,41738,131,21,1979,33,0,1515
9213,3160,138276,54495,281,17,8829,29,0,1516
7634,2637,144452,59435,417,43,6593,529,0,1519
16893,5978,141508,55466,726,445,14763,376,12,1520
2890,1140,116894,47857,175,48,2731,29,22,1522
