State,State code,Clean,Bioenergy,Coal,Gas,Fossil,Solar,Hydro,Nuclear,Total Generation,Clean_prop,Bioenergy_prop,Coal_prop,Gas_prop,Fossil_prop,Solar_prop,Hydro_prop,Nuclear_prop,Total Generation_prop,Democrat,Republican,Total,Democrat_prop,Republican_prop,Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,black_prop,white_prop,asian_prop,yearly_sunlight_kwh_kw_threshold_avg,existing_installs_count,carbon_offset_metric_tons,carbon_offset_metric_tons_per_panel,carbon_offset_metric_tons_per_capita,existing_installs_count_per_capita
Alabama,AL,56608.38,3190.15,25943.99,62217.45,88202.31,916.36,10188.21,42313.66,144810.69,0.39091299129919205,0.022029796280923736,0.17915797514672432,0.429646803008811,0.6090870087008079,0.006327985868999036,0.0703553722449634,0.2921998369043059,1.0,849624,1441170,2323282,0.3656999021212233,0.620316431668648,15369.081545064379,5982.793991416309,64645.875536480686,33832.3347639485,2249.3605150214594,4451.5751072961375,9683.30042918455,276.2274678111588,49.09012875536481,0.28630404333005205,0.6366403118984578,0.014708308630746585,1080.9472252661178,2.7566238094382003,8.156960447733107,0.20151440894625397,8.156960447733107,0.0001957980747964444
Alaska,AK,1909.27,40.84,726.93,3229.38,4800.59,15.72,1713.43,0.0,6709.86,0.2845469205020671,0.006086565144429244,0.1083375808139067,0.48128873031628083,0.7154530794979329,0.0023428208636245766,0.2553600224147747,0.0,1.0,153778,189951,359530,0.4277195227102049,0.5283314327038078,21026.6,7892.2,90125.2,44309.8,1983.8,1156.2666666666667,12328.6,1986.4,1726.9333333333334,0.0565920325463333,0.6123762740261665,0.08052941731657534,728.1666666666665,6.0552202450108075,1.826198412397971,0.0821994471620758,1.826198412397971,0.00027832320836834425
Arizona,AZ,50169.07,204.27,13449.47,45053.25,58523.72,11063.08,5394.58,31942.79,108692.79,0.4615675979979905,0.0018793334866093695,0.12373838227908217,0.414500814635451,0.5384324020020096,0.10178301615038128,0.04963144289515432,0.2938814064851956,1.0,1672143,1661686,3387326,0.4936469061436661,0.4905598103046474,32257.031914893618,12367.154255319148,79172.54787234042,41524.70744680851,3923.6329787234044,1583.8297872340424,21610.07978723404,1212.8085106382978,727.6117021276596,0.04214974741479546,0.6879025539627239,0.03415032722437364,1371.07068783854,232.03832436967252,5.004105687642957,0.1719592704241702,5.004105687642957,0.008051002802286752
Arkansas,AR,19668.46,841.31,20360.87,26037.43,46467.52,966.73,3536.02,14323.7,66135.98,0.2973942474277995,0.012720912278006617,0.30786373771130326,0.3936953833601619,0.7026057525722005,0.014617308158131172,0.05346590464071146,0.21657953809711447,1.0,423932,760647,1219069,0.3477506195301496,0.6239572985614432,18472.238095238095,7226.035714285715,63795.76190476191,35484.857142857145,2738.214285714286,3128.285714285714,12587.666666666666,396.7857142857143,107.89285714285714,0.15172260447209773,0.7248003904491253,0.017874382247172114,1069.2950720878073,3.552647742342113,6.27263532174142,0.19607484188318844,6.27263532174142,0.00018860964505125556
California,CA,129805.37,5307.32,251.56,96371.55,98385.79,62909.93,17489.1,17593.25,228191.16,0.5688448667336631,0.02325821911769062,0.0011024090503768858,0.4223281480316766,0.43115513326633687,0.27568960164802175,0.07664232041241212,0.07709873598959749,1.0,11110250,6006429,17500881,0.6348394689387351,0.3432072362528492,33818.96806569343,11461.485401459853,103682.26642335767,51633.29105839416,3984.6724452554745,1947.617700729927,15965.804744525547,5345.8777372262775,323.271897810219,0.052252318099809264,0.5216637261437403,0.14633964941558839,1294.9445514238216,324.67686309046366,2.3485851841101337,0.10164088824639923,2.3485851841101337,0.010650844608565404
Colorado,CO,22207.64,162.93,21723.0,15445.53,37246.43,3771.74,1323.4,0.0,59454.07,0.37352598400748677,0.002740434759134236,0.36537448151152646,0.2597892793546346,0.6264740159925132,0.0634395593102373,0.02225919941225218,0.0,1.0,1804352,1364607,3279980,0.5501106714065329,0.4160412563491241,27558.107784431137,10935.62874251497,93995.71856287424,48673.74251497006,2587.2395209580836,1317.0838323353294,20480.868263473054,1032.5149700598802,252.562874251497,0.04410853235197093,0.7560672302993344,0.03279043790244512,1244.460128695473,164.54490979468105,4.46663666508194,0.21682842684233072,4.46663666508194,0.005817375138920639
Connecticut,CT,18775.45,513.98,0.0,24530.69,25336.75,1470.32,313.54,16464.17,44112.2,0.4256294177121069,0.011651651923957547,0.0,0.5560976328544031,0.5743705822878932,0.033331368646315536,0.0071077842410943014,0.37323393528320964,1.0,1080831,714717,1823857,0.5926073151568352,0.3918711828833072,16859.685393258427,6593.213483146067,105132.94382022473,54460.33707865168,1766.0674157303372,2018.258426966292,11416.82584269663,849.0393258426966,44.18539325842696,0.09038125704239998,0.73440844789857,0.046317944433115606,988.1824414721251,37.29722208008104,3.513629962855238,0.12304277048509181,3.513629962855238,0.0024106554610668148
Delaware,DE,305.28,78.97,104.75,4749.65,5161.15,221.93,0.0,0.0,5466.43,0.0558463201760564,0.0144463571288757,0.019162414958208557,0.868876030608642,0.9441536798239435,0.04059870884654153,0.0,0.0,1.0,296268,200603,504346,0.5874300579364167,0.3977487677110555,21383.147058823528,8324.85294117647,83531.4705882353,44076.205882352944,2476.294117647059,5485.970588235294,12548.117647058823,1069.5294117647059,66.02941176470588,0.19767716648956135,0.666762310527928,0.035644144888437215,1027.124201553802,4.694353522761835,3.7867603151513256,0.1904628515360946,3.7867603151513256,0.0004826340242710104
Florida,FL,49238.55,4005.84,15531.57,193310.09,211731.31,13884.58,230.96,30768.33,260969.87,0.18867522905996775,0.015349817969407733,0.05951480145964743,0.740737196979866,0.8113247326214326,0.053203766396480945,0.0008850063802384544,0.11789993227953864,1.0,5297045,5668731,11067456,0.4786145072544223,0.5121981962250404,26781.541782729804,10438.905292479109,73393.15598885794,42555.44707520891,3352.642061281337,4251.863509749303,16930.115598885794,788.849582172702,68.2841225626741,0.1348814035933197,0.6839694814218401,0.026202678019561384,1154.266264190558,163.36772457465878,5.923668960938792,0.18296585921577257,5.923668960938792,0.006614896142953879
Georgia,GA,49696.01,5727.42,16778.38,59848.73,77071.28,7331.78,2533.93,34073.59,126767.29,0.39202549806026465,0.04518058246729105,0.13235575202404345,0.47211492807016703,0.6079745019397355,0.05783652865025355,0.019988831503773567,0.2687885021443623,1.0,2473633,2461854,4999960,0.4947305578444627,0.492374738997912,31139.053846153845,11503.307692307691,76721.85,39897.74230769231,3807.0692307692307,10661.98076923077,15371.976923076923,1689.95,120.71923076923076,0.32717814897165853,0.527117098864557,0.04398133990481598,1083.8476247159995,8.305480253783028,10.59511917843449,0.19101335752232687,10.59511917843449,0.00030315428777753794
