State,State code,Clean,Bioenergy,Coal,Gas,Fossil,Solar,Hydro,Nuclear,Total Generation,Clean_prop,Bioenergy_prop,Coal_prop,Gas_prop,Fossil_prop,Solar_prop,Hydro_prop,Nuclear_prop,Total Generation_prop
Alabama,AL,56608.38,3190.15,25943.99,62217.45,88202.31,916.36,10188.21,42313.66,144810.69,0.39091299129919205,0.022029796280923736,0.17915797514672432,0.429646803008811,0.6090870087008079,0.006327985868999036,0.0703553722449634,0.2921998369043059,1.0
Alaska,AK,1909.27,40.84,726.93,3229.38,4800.59,15.72,1713.43,0.0,6709.86,0.2845469205020671,0.006086565144429244,0.1083375808139067,0.48128873031628083,0.7154530794979329,0.0023428208636245766,0.2553600224147747,0.0,1.0
Arizona,AZ,50169.07,204.27,13449.47,45053.25,58523.72,11063.08,5394.58,31942.79,108692.79,0.4615675979979905,0.0018793334866093695,0.12373838227908217,0.414500814635451,0.5384324020020096,0.10178301615038128,0.04963144289515432,0.2938814064851956,1.0
Arkansas,AR,19668.46,841.31,20360.87,26037.43,46467.52,966.73,3536.02,14323.7,66135.98,0.2973942474277995,0.012720912278006617,0.30786373771130326,0.3936953833601619,0.7026057525722005,0.014617308158131172,0.05346590464071146,0.21657953809711447,1.0
California,CA,129805.37,5307.32,251.56,96371.55,98385.79,62909.93,17489.1,17593.25,228191.16,0.5688448667336631,0.02325821911769062,0.0011024090503768858,0.4223281480316766,0.43115513326633687,0.27568960164802175,0.07664232041241212,0.07709873598959749,1.0
Colorado,CO,22207.64,162.93,21723.0,15445.53,37246.43,3771.74,1323.4,0.0,59454.07,0.37352598400748677,0.002740434759134236,0.36537448151152646,0.2597892793546346,0.6264740159925132,0.0634395593102373,0.02225919941225218,0.0,1.0
Connecticut,CT,18775.45,513.98,0.0,24530.69,25336.75,1470.32,313.54,16464.17,44112.2,0.4256294177121069,0.011651651923957547,0.0,0.5560976328544031,0.5743705822878932,0.033331368646315536,0.0071077842410943014,0.37323393528320964,1.0
Delaware,DE,305.28,78.97,104.75,4749.65,5161.15,221.93,0.0,0.0,5466.43,0.0558463201760564,0.0144463571288757,0.019162414958208557,0.868876030608642,0.9441536798239435,0.04059870884654153,0.0,0.0,1.0
Florida,FL,49238.55,4005.84,15531.57,193310.09,211731.31,13884.58,230.96,30768.33,260969.87,0.18867522905996775,0.015349817969407733,0.05951480145964743,0.740737196979866,0.8113247326214326,0.053203766396480945,0.0008850063802384544,0.11789993227953864,1.0
Georgia,GA,49696.01,5727.42,16778.38,59848.73,77071.28,7331.78,2533.93,34073.59,126767.29,0.39202549806026465,0.04518058246729105,0.13235575202404345,0.47211492807016703,0.6079745019397355,0.05783652865025355,0.019988831503773567,0.2687885021443623,1.0
Hawaii,HI,3163.49,277.06,647.76,0.0,7561.48,1881.69,110.08,0.0,10724.97,0.2949649276408232,0.025833172493722596,0.06039737174089998,0.0,0.7050350723591767,0.17544944181662048,0.010263898174074148,0.0,1.0
Idaho,ID,12089.06,460.4,6.27,4335.01,4391.84,711.94,8359.74,0.0,16480.9,0.7335194073139208,0.027935367607351536,0.00038044038857101245,0.26303235866973285,0.26648059268607904,0.043197883610725143,0.507238075590532,0.0,1.0
Illinois,IL,125565.9,282.71,40559.22,19789.29,60913.63,2794.94,115.24,98869.58,186479.53,0.6733495091927784,0.0015160377120212603,0.21749958293009428,0.10612044120874822,0.3266504908072216,0.014987918513093636,0.000617976675509639,0.5301899892175833,1.0
Indiana,IN,12152.47,385.91,51384.11,32120.9,86230.68,1363.37,370.83,0.0,98383.15,0.12352186324589119,0.00392252128540304,0.5222856759516239,0.32648781829002227,0.8764781367541088,0.013857759179290356,0.0037692430055349924,0.0,1.0
Iowa,IA,47801.34,220.14,18172.13,7339.04,25593.03,693.46,1009.83,0.0,73394.37,0.6512943703992554,0.0029994126252463234,0.24759569432914272,0.09999459086575714,0.3487056296007446,0.009448408644968273,0.01375895726061822,0.0,1.0
Kansas,KS,38915.22,60.84,20229.36,3362.56,23369.2,161.27,23.67,8981.96,62284.42,0.6247986254026289,0.0009768092887434772,0.3247900518299761,0.05398717688950142,0.37520137459737124,0.002589251051868188,0.0003800308327507907,0.14420877644842803,1.0
Kentucky,KY,5125.3,447.57,47053.33,16917.63,64105.26,147.9,4529.83,0.0,69230.56,0.07403233485327868,0.006464919538423494,0.6796612651984905,0.24436650519654907,0.9259676651467214,0.0021363397898269206,0.06543107552502825,0.0,1.0
